model_code,model_name,heatsink_width_mm
SCC020030200,"BlueSolar MPPT 100/30",186
SCC110030210,"SmartSolar MPPT 100/30",186
SCC020050200,"BlueSolar MPPT 100/50",186
SCC020035000,"BlueSolar MPPT 150/35",186
SCC115045222,"BlueSolar MPPT 150/45",186
SCC110050210,"SmartSolar MPPT 100/50",186
SCC115035210,"SmartSolar MPPT 150/35",186
SCC115045212,"SmartSolar MPPT 150/45",186
ORI121236120,"Orion-Tr Smart 12/12-30A",186
ORI122436120,"Orion-Tr Smart 12/24-15A",186
ORI241236120,"Orion-Tr Smart 24/12-30A",186
SCC110020070R,"BlueSolar MPPT 100/20",131
SCC110020170R,"BlueSolar MPPT 100/20_48V",131
SCC110020060R,"SmartSolar MPPT 100/20",131
SCC110020160R,"SmartSolar MPPT 100/20_48V",131
SCC115060210,"SmartSolar MPPT 150/60-Tr",250
SCC115070210,"SmartSolar MPPT 150/70-Tr",250
SCC115070411,"SmartSolar MPPT 150/70-Tr VE.Can",250
SCC125070421,"SmartSolar MPPT 250/70-Tr VE.Can",250
SCC125070441,"BlueSolar MPPT 250/70-Tr VE.Can",250
SCC115085211,"SmartSolar MPPT 150/85-Tr",295
SCC115110211,"SmartSolar MPPT 150/100-Tr",295
SCC125085210,"SmartSolar MPPT 250/85-Tr",295
SCC125110210,"SmartSolar MPPT 250/100-Tr",295
SCC115085411,"SmartSolar MPPT 150/85-Tr VE.Can",294.6
SCC115110410,"SmartSolar MPPT 150/100-Tr VE.Can",294.6
SCC115110420,"BlueSolar MPPT 150/100-Tr VE.Can",294.6
SCC125085411,"SmartSolar MPPT 250/85-Tr VE.Can",294.6
SCC125110411,"SmartSolar MPPT 250/100-Tr VE.Can",294.6
SCC125110441,"BlueSolar MPPT 250/100-Tr VE.Can",294.6
SCC115085511,"SmartSolar MPPT 150/85-MC4 VE.Can",294.6
SCC115110511,"SmartSolar MPPT 150/100-MC4 VE.Can",294.6
SCC125085511,"SmartSolar MPPT 250/85-MC4 VE.Can",294.6
SCC125110512,"SmartSolar MPPT 250/100-MC4 VE.Can",294.6
SCC125060221,"SmartSolar MPPT 250/60-Tr",248.5
SCC125070220,"SmartSolar MPPT 250/70-Tr",248.5
SCC115060310,"SmartSolar MPPT 150/60-MC4",248.5
SCC115070310,"SmartSolar MPPT 150/70-MC4",248.5
SCC125060310,"SmartSolar MPPT 250/60-MC4",248.5
SCC125060321,"SmartSolar MPPT 250/60-MC4",248.5
SCC125070310,"SmartSolar MPPT 250/70-MC4",248.5
SCC125070321,"SmartSolar MPPT 250/70-MC4",248.5
SCC010010050R,"BlueSolar MPPT 75/10",112.9
SCC010015050R,"BlueSolar MPPT 75/15",112.9
SCC075010060R,"SmartSolar MPPT 75/10",112.9
SCC075015060R,"SmartSolar MPPT 75/15",112.9
SCC010015200R,"SmartSolar MPPT 100/15",113.9
SCC110015060R,"SmartSolar MPPT 100/15",113.9